Crash_Date,Crash_Time,Aircraft_SN,Aircraft_Type,Summarized_Name,Ejection_Seats,Base,Wing,Squadron,Mission_Type,Weapon,Target_Objective,Ceiling_Vis,Maneuver,Pass,Angle,Altitude,Airspeed,Mission_Phase,Where_Hit,Fire_Observed,Hit_Country,Loss_Country,Latitude,Longitude,Defense_Type,Defense_Category,Pilot_Hit,Pilot_Rank,Pilot,Pilot_Egress,Pilot_Condition,Pilot_Recovered,Pilot_Status
1967-03-15 00:00:00,0211D,591825,F-105D,F-105 Thunderchief,Y,TKL,355TFW,357TFS,"",_,"Route 7, segment J",2000/2,_,0,0,0,0,At target,_,_,NVn,LS,,,Gunfire (poss. combat asociated),Automatic Weapons,_,LtCol,Frederick P. J.,_,_,_,MIA
1967-03-18 00:00:00,1325N,52133873,A-1E,A-1 Skyraider,Y,PLK,14ACW,1ACS,"",_,_,/3,Level,1,0,0,0,At target,_,N,LS,LS,17.0333333333333,106.033333333333,37mm AAA (prob.),AAA,N,Capt,Dugan M. J.,Ejection,Minor injuries,USAF Helo,Recovered
1967-03-19 00:00:00,0202D,610123,F-105D,F-105 Thunderchief,Y,KRT,388TFW,34TFS,"",_,Roadway,/..,Dive,1,0,0,0,At target,_,N,NVn,NVn,17.7833333333333,105.75,Gunfire (poss. combat associated),Automatic Weapons,p,LtCol,Austin J. C.,Crash,_,_,MIA
1967-03-19 00:00:00,2117D,552912,F-100D,F-100 Super Sabre,Y,PHR,35TFW,614TFS,"",_,Troop support,4000/10,_,0,0,2500,0,At target,_,Y,SVn,SVn,11.2666666666667,106.65,Automatic weapons,AAA,_,Capt,Delphin B. R.,Crash,_,_,KIA
1967-03-20 00:00:00,0340D,562518,O-1E,O-1 Bird Dog,N,QNN,504TAS,21TASS,"",_,_,4000/5,_,0,0,0,0,_,_,_,SVn,SVn,14.4833333333333,108.916666666667,Automatic weapons,AAA,N,Maj,Jones P. T.,Crash,Minor injuries,_,Recovered
1967-03-20 00:00:00,2345D,515150,O-1G,O-1 Bird Dog,N,DTG,_,19TASS,"",_,Troops,3000/5,_,0,0,1000,0,At target,_,_,SVn,SVn,11.4666666666667,106.316666666667,Automatic weapons,AAA,_,1Lt,Forbes W. H. III,Crash,_,_,KIA
1967-03-23 00:00:00,1049Ds,4348356,AC-47,AC-47 Gunship I,N,BHA,14ACW,4ACS,"",_,_,/7,Climb,0,0,100,0,Enroute,Right wing,N,SVn,SVn,10.9666666666667,106.833333333333,30cal AAA,AAA,N,Capt,Boatwright C. A.,Crashlanded,_,Army,Recovered
1967-03-25 00:00:00,0830D,562509,O-1E,O-1 Bird Dog,N,NTR,_,21TASS,"",_,_,/11,Climb,0,0,50,0,Enroute,_,N,SVn,SVn,14.5833333333333,108.283333333333,Small arms,Small Arms Fire,N,1Lt,Mower J. W.,Crash,_,_,KIA
1967-03-26 00:00:00,0655D,600516,F-105D,F-105 Thunderchief,Y,KRT,388TFW,469TFS,"",_,Iron Hand search,7000/10,Level,0,0,5000,480,At target,_,N,NVn,SVn,16.8833333333333,106.85,Automatic weapons (prob.),AAA,N,Maj,Spillers J. C.,Ejection,Minor injuries,USAF Helo,Recovered
1967-03-26 00:00:00,0820D,640849,F-4C,F-4 Phantom,Y,UBN,8TFW,433TFS,"",_,Son Tay army supply,/3,Pull up,0,0,16000,0,At target,Left wing,_,NVn,NVn,20.9333333333333,104.933333333333,SAM,SAM,_,LtCol,Crow F. A. Jr,Ejection,_,_,POW (returned)
1967-03-28 00:00:00,1935N,4476534,AC-47,AC-47 Gunship I,N,DNG,14ACW,4ACS,"",_,VietCong attacking outpost,/5,Level,0,0,3000,120,At target,_,_,SVn,SVn,15.8,108.25,Heavy automatic weapons,Automatic Weapons,_,Capt,Hosea W. H.,Crash,_,_,KIA
1967-03-30 00:00:00,1850N,563027,F-100D,F-100 Super Sabre,Y,BHA,3TFW,531TFS,"",_,Combat Skyspot,/..,Level,0,0,15000,0,At target,_,Y,SVn,SVn,11.1833333333333,106.733333333333,Automatic weapons/small arms (poss. combat associated),Small Arms Fire,_,Capt,Lindberg D. C.,Ejection,Minor injuries,USAF Helo,Recovered
1967-03-31 00:00:00,0850D,591745,F-105D,F-105 Thunderchief,Y,KRT,388TFW,_,"",_,Wooden barges,6000/3,Strafe,2,0,6000,0,At target,Tail,Y,NVn,NVn,19.1666666666667,104.45,Automatic weapons (prob.),AAA,N,Capt,Hennigar H. J.,Ejection,Minor injuries,USAF Helo,Recovered
1967-04-01 00:00:00,0920D,640746,F-4C,F-4 Phantom,Y,CRB,12TFW,557TFS,"",_,Underground storage area,4500/7,Dive,3,35,0,450,At target,_,N,SVn,SVn,15.6,108.25,Gunfire (poss. combat associated),Automatic Weapons,p,Capt,Jourdenais G. H.,Crash,_,_,KIA
1967-04-01 00:00:00,1405N,491559,T-28D,T-28 Trojan,N,NKP,634CSG,606ACS,"",_,Moving truck on Route 911,/4,Orbit,0,0,600,0,At target,_,N,LS,LS,16.9666666666667,105.95,Heavy barrage 37mm AAA,AAA,p,Maj,Williams D. R.,Crash,_,_,MIA
1967-04-02 00:00:00,0735D,600426,F-105D,F-105 Thunderchief,Y,KRT,388TFW,13TFS,"",_,Routes 106 and 107,/7,Level,0,0,4000,0,At target,Aft tail,Y,NVn,NVn,17.5833333333333,106.35,Barrage 37/57mm AAA,AAA,_,Capt,Dramesi J. A.,Ejection,Uninjured,_,POW (returned)
1967-04-06 00:00:00,0715D,515074,O-1E,O-1 Bird Dog,N,DNG,_,20TASS,"",_,Cover for special operation,/5,_,0,0,1500,0,On station,_,_,SVn,SVn,15.9333333333333,108,Gunfire,Automatic Weapons,_,Capt,Sipos W. G.,Crash,_,_,KIA
1967-04-10 00:00:00,0837D,624357,F-105D,F-105 Thunderchief,Y,TKL,355TFW,357TFS,"",_,Mu Gia pass,/..,Pull up,1,0,7000,150,At target,_,N,NVn,NVn,17.8333333333333,105.75,37/57mm AAA,AAA,N,Maj,OGrady J. F.,Ejection,_,_,MIA
1967-04-14 00:00:00,0855D,600447,F-105D,F-105 Thunderchief,Y,TKL,355TFW,357TFS,"",_,Construction equipment,5000/5,Dive,1,0,4500,550,At target,Left wing,Y,NVn,LS,21.45,102.816666666667,37mm AAA,AAA,N,Maj,Craw P. R.,Ejection,Major injuries,USAF Helo,Recovered
1967-04-19 00:00:00,0858D,638341,F-105F,F-105 Thunderchief,Y,TKL,355TFW,357TFS,"",_,Xuan Mai army barracks,/..,_,0,0,0,0,At target,_,_,NVn,NVn,20.7333333333333,105.533333333333,Gunfire (poss. pos MiG),MiG,_,Maj,Madison T. M.,Ejection,_,_,POW (returned)
1967-04-19 00:00:00,0945D,52133905,A-1E,A-1 Skyraider,Y,UDN,432ACW,602ACS,"",_,RESCAP for Kingfish 02,/..,_,0,0,500,0,On station,Left wing,_,NVn,NVn,20.7,105.533333333333,MiG cannon fire (prob. MiG-17),MiG,_,Maj,Hamilton J. S.,Crash,_,_,MIA
1967-04-22 00:00:00,0220D,533859,B-57,B-57 Canberra,Y,PHR,405TFW,35TBS,"",_,Support troops,2500/7,Strafe,4,0,2500,0,At target,Left wing,_,SVn,SVn,10.5666666666667,106.55,Gunfire,Automatic Weapons,_,Maj,Oxley J. E.,Ejection,_,_,KIA
1967-04-23 00:00:00,0758D,501393,O-1G,O-1 Bird Dog,N,BHA,_,19TASS,"",_,_,2500/25,Climb,0,0,0,0,Enroute,_,_,SVn,SVn,10.8166666666667,107.216666666667,Small arms,Small Arms Fire,_,1Lt,Vandeventer J. W.,Crash,_,_,KIA
1967-04-23 00:00:00,0855D,640756,F-4C,F-4 Phantom,Y,DNG,366TFW,389TFS,"",_,Thai Nguyen iron works,/7,Level,0,0,7000,0,Enroute,Aft tail,Y,NVn,NVn,21.6666666666667,104.266666666667,37mm AAA,AAA,N,Capt,Mekkers W. L. Jr,Ejection,Minor injuries,USAF Helo,Recovered
1967-04-24 00:00:00,0924D,637641,F-4C,F-4 Phantom,Y,UBN,8TFW,433TFS,"",_,Hoa Lac airfield,/10,_,0,0,200,550,Return,_,_,NVn,NVn,20.8833333333333,105.166666666667,37mm AAA,AAA,_,Maj,Knapp H. L.,Crash,_,_,MIA
1967-04-25 00:00:00,0203D,624294,F-105D,F-105 Thunderchief,Y,TKL,355TFW,354TFS,"",_,Hanoi transformer station,3000/10,_,0,0,4000,550,Enroute,_,N,NVn,NVn,21.15,105.85,Heavy 85mm AAA (poss.),AAA,_,1Lt,Weskamp R. L.,Ejection,_,_,KIA
1967-04-26 00:00:00,0810D,638277,F-105F,F-105 Thunderchief,Y,TKL,355TFW,333TFS,"",_,Support of JCS 82.24,/..,_,0,0,6000,550,At target,_,Y,NVn,NVn,21.5,105.433333333333,SAM,SAM,_,Maj,Dudash J. F.,Crash,_,_,KIA
1967-04-26 00:00:00,0915D,581153,F-105D,F-105 Thunderchief,Y,KRT,388TFW,469TFS,"",_,Hanoi RR and highway bridge,/..,_,0,0,0,520,At target,_,_,NVn,NVn,,,Heavy aimed AAA (prob.),AAA,_,Capt,Meyer W. M.,KIA,_,_,_
1967-04-28 00:00:00,0645D,516950,O-1G,O-1 Bird Dog,N,THA,_,21TASS,"",_,Enemy position,/20,_,0,0,0,0,_,_,_,SVn,Sea,12.7666666666667,109.45,Gunfire (prob.),Automatic Weapons,_,Maj,Cotner M. A.,Crash,_,_,KIA
1967-04-28 00:00:00,0910D,581151,F-105D,F-105 Thunderchief,Y,KRT,388TFW,44TFS,"",_,Hanoi railroad repair shops,12000/15,_,0,0,12000,0,Return,Aft section,Y,NVn,NVn,21.2166666666667,104.3,MiG cannon fire (prob. MiG-21),MiG,_,Capt,Caras F. A.,Ejection,_,_,MIA
1967-04-29 00:00:00,0822D,640670,F-4C,F-4 Phantom,Y,DNG,366TFW,389TFS,"",_,Hanoi RR and highway bridge,/10,_,0,0,4500,540,On station,Fuselage,N,NVn,NVn,20.9166666666667,105.566666666667,Heavy barrage 37/57mm AAA,AAA,p,1Lt,Torkleson L. H.,Crash,_,_,POW (returned)
1967-04-29 00:00:00,1410N,650872,RF-4C,F-4 Phantom,Y,UDN,432TRW,11TRS,"",_,Hanoi RR and highway bridge,2500/5,_,0,0,0,0,_,_,_,NVn,u,,,(Combat associated),Other,_,Maj,Stephensen M. L.,_,_,_,KIA
1967-04-30 00:00:00,0824D,624447,F-105F,F-105 Thunderchief,Y,TKL,355TFW,357TFS,"",_,Hanoi transformer station,/6,Level,0,0,8000,560,Enroute,_,Y,NVn,NVn,21.2833333333333,105.016666666667,AA-missile (prob. MiG-21),MiG,N,Maj,Thorsness L. E.,Ejection,Uninjured,_,POW (returned)
1967-04-30 00:00:00,0824D,591726,F-105D,F-105 Thunderchief,Y,TKL,355TFW,354TFS,"",_,Hanoi transformer station,/6,_,0,0,8000,560,Enroute,_,Y,NVn,NVn,21.3,104.983333333333,AA-missile (prob. MiG-21),MiG,N,1Lt,Abbott R. A.,Ejection,_,_,POW (returned)
1967-04-30 00:00:00,0920D,610130,F-105D,F-105 Thunderchief,Y,TKL,355TFW,333TFS,"",_,RESCAP for Carbine 03,/6,Jink,1,0,10500,350,On station,_,Y,NVn,NVn,21.05,104.916666666667,AA-missile (prob. MiG-21),MiG,N,Capt,Abbott J. S.,Ejection,_,_,POW (returned)
1967-05-02 00:00:00,0230D,563980,F-100F,F-100 Super Sabre,Y,PHR,35TFW,352TFS,"",_,Pictures of napalm delivery,/10,Level,0,0,750,0,At target,Aft fuselage,Y,SVn,Sea,12.0833333333333,109.083333333333,Heavy automatic weapons,Automatic Weapons,N,Maj,Howard F. D.,Ejection,Uninjured,Army Helo,Recovered
1967-05-03 00:00:00,0130D,624405,F-105D,F-105 Thunderchief,Y,TKL,355TFW,333TFS,"",_,Trucks,9000/10,Strafe,1,0,6500,500,At target,Left wing,Y,NVn,NVn,20.6,103.683333333333,37mm AAA (poss.),AAA,N,Maj,Vasiliadis C. C.,Ejection,Injured,USAF Helo,Recovered
1967-05-03 00:00:00,2350D,52132638,A-1E,A-1 Skyraider,Y,PLK,14ACW,1ACS,"",Napalm,Truck park on Route 111,/..,_,0,0,500,0,At target,Tail,_,LS,LS,14.7333333333333,106.8,37/57mm AAA,AAA,_,Maj,Rogers C. E.,Crash,_,_,KIA
1967-05-05 00:00:00,0932D,610198,F-105D,F-105 Thunderchief,Y,TKL,355TFW,357TFS,"",_,Yen Vien RR class yard,3000/4,_,0,0,3000,550,Return,_,Y,NVn,NVn,20.8666666666667,105.55,Heavy 37/57mm AAA,AAA,_,1Lt,Shively J. R.,Ejection,_,_,POW (returned)
1967-05-05 00:00:00,0934D,624401,F-105D,F-105 Thunderchief,Y,KRT,388TFW,469TFS,"",_,Ha Dong army barracks,/3,Turn,0,0,17000,500,Enroute,Tail,Y,NVn,NVn,21.0166666666667,105.5,85mm AAA (prob.),AAA,_,LtCol,Hughes J. L.,Ejection,Injured,_,POW (returned)
1967-05-05 00:00:00,0944D,624352,F-105D,F-105 Thunderchief,Y,KRT,388TFW,469TFS,"",_,RESCAP for loss 573,/3,Orbit,1,0,0,0,Enroute,_,_,NVn,NVn,20.8333333333333,105.166666666667,Gunfire (poss. SAM),SAM,_,LtCol,Larson G. A.,Ejection,_,_,POW (returned)
1967-05-08 00:00:00,0550D,610105,F-105D,F-105 Thunderchief,Y,TKL,355TFW,333TFS,"",_,Ten boxcars,5000/15,Dive,0,0,5000,500,At target,_,Y,NVn,NVn,18.1833333333333,105.816666666667,37mm AAA,AAA,N,Capt,McCuistion M. K.,Ejection,_,_,POW (returned)
1967-05-10 00:00:00,0318D,553618,F-100D,F-100 Super Sabre,Y,THA,31TFW,308TFS,"",_,Military structures,3000/20,Strafe,2,0,1000,0,At target,_,_,SVn,SVn,13.7166666666667,108.6,Small arms,Small Arms Fire,_,Maj,Niski L. E.,Crash,_,Army Helo,KIA
1967-05-12 00:00:00,0044N,637614,F-4C,F-4 Phantom,Y,DNG,366TFW,390TFS,"",_,Ha Dong barracks depot,/..,_,0,0,4000,500,Return,Aft fuselage,Y,NVn,NVn,20.9833333333333,105.6,MiG cannon fire (prob. MiG-17),MiG,_,Col,Gaddis N. C.,Ejection,_,_,POW (returned)
1967-05-12 00:00:00,0850D,591728,F-105D,F-105 Thunderchief,Y,TKL,355TFW,357TFS,"",_,Nguyen Khe stores,/8,Climb,0,0,6000,0,Return,Aft fuselage,Y,NVn,NVn,21.55,104.866666666667,Heavy automatic weapons (prob.),Automatic Weapons,_,Capt,Grenzebach E. W.,Ejection,_,_,MIA
1967-05-12 00:00:00,1350N,638269,F-105F,F-105 Thunderchief,Y,KRT,388TFW,34TFS,"",_,Ron ferry complex,/..,_,0,0,0,0,_,_,_,NVn,NVn,,,(Combat associated),Other,_,Capt,Pitman P. P.,_,_,_,KIA
1967-05-14 00:00:00,0820D,600421,F-105D,F-105 Thunderchief,Y,KRT,388TFW,13TFS,"",_,Ha Dong army barracks,/..,Dive,0,0,12000,0,At target,Right wing,Y,NVn,NVn,20.4,104.816666666667,SAM,SAM,N,Maj,Wilson G. R.,Ejection,Minor injuries,USAF Helo,Recovered
1967-05-14 00:00:00,0912D,563094,F-100D,F-100 Super Sabre,Y,BHA,3TFW,_,"",_,VietCong defense position,1000/7,Strafe,9,0,2000,0,At target,Center fuselage,N,SVn,SVn,10.8333333333333,106.816666666667,Gunfire,Automatic Weapons,N,Capt,Winborn S. R.,Ejection,Minor injuries,Army Helo,Recovered
1967-05-15 00:00:00,1407N,624429,F-105F,F-105 Thunderchief,Y,KRT,388TFW,13TFS,"",_,Kep railroad yard,8000/..,Level,0,0,17000,500,Enroute,_,_,NVn,NVn,,,Heavy AAA,AAA,_,Maj,Pollard B. M.,Ejection,_,_,POW (returned)
1967-05-19 00:00:00,0042D,52133909,A-1E,A-1 Skyraider,Y,UDN,432TRW,602ACS,"",_,Ban Naka Tew military area,5000/15,Dive,1,0,10000,280,At target,_,N,LS,LS,20.4166666666667,104.233333333333,Heavy 37/57mm AAA,AAA,p,Maj,Knight R. A. Jr,Crash,_,_,KIA
1967-05-20 00:00:00,0834D,637669,F-4C,F-4 Phantom,Y,UBN,8TFW,433TFS,"",_,MIGCAP,/..,_,0,0,7000,0,Enroute,"",Y,NVn,NVn,21.4166666666667,106.433333333333,MiG cannon fire (prob. MiG-17),MiG,_,Maj,Vanloan J. L.,Ejection,_,_,POW (returned)
1967-05-20 00:00:00,0913D,560120,RF-101,F-101 Voodoo,Y,UDN,432TRW,20TRS,"",_,Kep army barracks,/..,_,0,0,0,0,At target,_,_,NVn,NVn,21.3333333333333,107.35,AAA (prob. combat associated),AAA,_,Maj,Maddox N. G.,_,_,_,MIA
